Address,Name Tag, Balance, Txn Count
0x5d375281582791a38e0348915fa9cbc6139e9c2a,BitBlinx,5.71439909 Ether,16565
0x7a91a362d4f2c9c4627688d5b7090bbb12e5715f,Bitci,0.00005834 Ether,2053
0x28ebe764b8f9a853509840645216d3c2c0fd774b,BiteBTC,0.0071963 Ether,14592
0x7217d64f77041ce320c356d1a2185bcb89798a0a,Bitexlive,0.000027 Ether,3844
0x57a47cfe647306a406118b6cf36459a1756823d0,Bitexlive 2,0.00851552 Ether,286
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex 1,9.9617274 Ether,391318
0x36a85757645e8e8aec062a1dee289c7d615901ca,Bitfinex 10,177328.30765968 Ether,26
0xc56fefd1028b0534bfadcdb580d3519b5586246e,Bitfinex 11,95263.26323519 Ether,1
0x0b73f67a49273fc4b9a65dbd25d7d0918e734e63,Bitfinex 12,34740.37540505 Ether,1
0x482f02e8bc15b5eabc52c6497b425b3ca3c821e8,Bitfinex 13,27299.26292826 Ether,1
0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2,879336.05549436 Ether,16523
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex 3,22102.46414104 Ether,2214957
0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c,Bitfinex 4,123587.69025187 Ether,10
0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex 5,100116.86592345 Ether,23
0x1b29dd8ff0eb3240238bf97cafd6edea05d5ba82,Bitfinex 6,1.42460626 Ether,11
0x30a2ebf10f34c6c4874b0bdd5740690fd2f3b70c,Bitfinex 7,2.10290367 Ether,4
0x3f7e77b627676763997344a1ad71acb765fc8ac5,Bitfinex 8,75026.12978599 Ether,8
0x59448fe20378357f206880c58068f095ae63d5a5,Bitfinex 9,215368.75591044 Ether,28
0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,Bitfinex: MultiSig 1,0.01470426 Ether,530
0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828,Bitfinex: MultiSig 2,0.14412363 Ether,5023
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,Bitfinex: MultiSig 3,100019.76046368 Ether,110
0x111cff45948819988857bbf1966a0399e0d1141e,bitFlyer,36751.63545229 Ether,5210
0xdf5021a4c1401f1125cd347e394d977630e17cf7,BITFRONT,353.37173908 Ether,7708
0x88d34944cf554e9cccf4a24292d891f620e9c94f,Bithumb 1,0 Ether,133163
0x186549a4ae594fc1f70ba4cffdac714b405be3f9,Bithumb 10,0 Ether,11
0xd273bd546b11bd60214a2f9d71f22a088aafe31b,Bithumb 11,0 Ether,9
0x558553d54183a8542f7832742e7b4ba9c33aa1e6,Bithumb 12,200001.664584 Ether,50
0x3052cd6bf951449a984fe4b5a38b46aef9455c8e,Bithumb 2,0.02023213 Ether,207792
0x2140efd7ba31169c69dfff6cdc66c542f0211825,Bithumb 3,0.0029 Ether,109473
0xa0ff1e0f30b5dda2dc01e7e828290bc72b71e57d,Bithumb 4,0 Ether,22
0xc1da8f69e4881efe341600620268934ef01a3e63,Bithumb 5,0 Ether,1275
0xb4460b75254ce0563bb68ec219208344c7ea838c,Bithumb 6,0 Ether,881
0x15878e87c685f866edfaf454be6dc06fa517b35b,Bithumb 7,0 Ether,1700
0x31d03f07178bcd74f9099afebd23b0ae30184ab5,Bithumb 8,0 Ether,1315
0xed48dc0628789c2956b1e41726d062a86ec45bff,Bithumb 9,0 Ether,1493
0x3fbe1f8fc5ddb27d428aa60f661eaaab0d2000ce,Bithumb: Contract 1,16.59320371 Ether,83834
0x603d022611bfe6a101dcdab207d96c527f1d4d8e,BitKeep: NFT Exchange,0 Ether,486
0xdb044b8298e04d442fdbe5ce01b8cc8f77130e33,Bitkub Hot Wallet 1,1011.44044515 Ether,101942
0xe79eef9b9388a4ff70ed7ec5bccd5b928ebb8bd1,BitMart,0.199979 Ether,167120
0x68b22215ff74e3606bd5e6c1de8c2d68180c85f7,BitMart 2,0.118737 Ether,911756
0xeea81c4416d71cef071224611359f6f99a4c4294,BitMEX 1,14689.58842754 Ether,56
0xfb8131c260749c7835a08ccbdb64728de432858e,BitMEX 2,3542.4455971 Ether,13849
0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,Bitrue,154.96026849 Ether,470572
0x00bdb5699745f5b860228c8f939abf1b9ae374ed,Bitstamp 1,387.37356808 Ether,1452235
0x1522900b6dafac587d499a862861c0869be6e428,Bitstamp 2,20689.47776293 Ether,1452182
0x9a9bed3eb03e386d66f8a29dc67dc29bbb1ccb72,Bitstamp 3,4501.02 Ether,40
0x059799f2261d37b829c2850cee67b5b975432271,Bitstamp 4,34.48287 Ether,22
0x4c766def136f59f6494f0969b1355882080cf8e0,Bitstamp 5,21717.48057762 Ether,30
0xc5b611f502a0dcf6c3188fd494061ae29b2baa4f,Bitstamp 6,1.5 Ether,17
0x964771f6df31eea2d927fa71d7bd78e81bcdce05,Bitstamp: Contract 1,0 Ether,14
