level,chunkID,chunk_size
1,0,1000
1,1000,1000
1,2000,1000
1,3000,1000
1,4000,1000
1,5000,1000
1,6000,1000
1,7000,1000
1,8000,1000
1,9000,1000
1,10000,1000
1,11000,1000
1,12000,1000
1,13000,1000
1,14000,1000
1,15000,1000
1,16000,1000
1,17000,1000
1,18000,1000
1,19000,1000
1,20000,1000
1,21000,1000
1,22000,1000
1,23000,1000
1,24000,1000
1,25000,1000
1,26000,1000
1,27000,1000
1,28000,1000
1,29000,1000
1,30000,1000
1,31000,1000
1,32000,1000
1,33000,1000
1,34000,1000
1,35000,1000
1,36000,1000
1,37000,1000
1,38000,1000
1,39000,1000
1,40000,1000
1,41000,1000
1,42000,1000
1,43000,1000
1,44000,1000
1,45000,1000
1,46000,1000
1,47000,1000
1,48000,1000
1,49000,1000
1,50000,1000
1,51000,1000
1,52000,1000
1,53000,1000
1,54000,1000
1,55000,1000
1,56000,1000
1,57000,1000
1,58000,1000
1,59000,1000
1,60000,1000
1,61000,1000
1,62000,1000
1,63000,1000
1,64000,1000
1,65000,1000
1,66000,1000
1,67000,1000
1,68000,1000
1,69000,1000
1,70000,1000
1,71000,1000
1,72000,1000
1,73000,1000
1,74000,1000
1,75000,1000
1,76000,1000
1,77000,1000
1,78000,1000
1,79000,1000
1,80000,1000
1,81000,1000
1,82000,1000
1,83000,1000
1,84000,1000
1,85000,1000
1,86000,1000
1,87000,1000
1,88000,1000
1,89000,1000
1,90000,1000
1,91000,1000
1,92000,1000
1,93000,1000
1,94000,1000
1,95000,1000
1,96000,1000
1,97000,1000
1,98000,1000
1,99000,1000
1,100000,1000
1,101000,1000
1,102000,1000
1,103000,1000
1,104000,1000
1,105000,1000
1,106000,1000
1,107000,1000
1,108000,1000
1,109000,1000
1,110000,1000
1,111000,1000
1,112000,1000
1,113000,1000
1,114000,1000
1,115000,1000
1,116000,1000
1,117000,1000
1,118000,1000
1,119000,1000
1,120000,1000
1,121000,1000
1,122000,1000
